rank	name	childcount	min	max	mode	median	mean	stddev
genus	Acetobacterium	1	5	5			5.0	0.0
genus	Porphyromonas	2	2	4			3.0	1.0
genus	Parachlamydia	2	3	3			3.0	0.0
genus	Pelobacter	1	2	2			2.0	0.0
genus	Sulfolobus	4	1	1			1.0	0.0
genus	GpX	2	2	2			2.0	0.0
genus	Desulfocapsa	1	3	3			3.0	0.0
genus	GpXII	1	2	2			2.0	0.0
genus	Hyphomonas	1	1	1			1.0	0.0
genus	Alistipes	2	1	2			1.5	0.5
genus	Pandoraea	2	4	5			4.5	0.5
genus	Halorubrum	1	3	3			3.0	0.0
genus	Photorhabdus	2	7	7			7.0	0.0
genus	Acidiphilium	2	2	2			2.0	0.0
genus	Chlorobaculum	1	2	2			2.0	0.0
genus	Erysipelotrichaceae_incertae_sedis	1	1	1			1.0	0.0
genus	Spirosoma	1	4	4			4.0	0.0
genus	Kyrpidia	1	5	5			5.0	0.0
genus	Mannheimia	1	6	6			6.0	0.0
genus	Clostridium IV	1	1	1			1.0	0.0
genus	Thermovibrio	1	3	3			3.0	0.0
genus	Pedobacter	2	3	4			3.5	0.5
genus	Clostridium III	5	3	8			5.8	2.04
genus	Stigmatella	1	2	2			2.0	0.0
genus	Leptospirillum	2	2	3			2.5	0.5
genus	Coprothermobacter	1	2	2			2.0	0.0
genus	Xylella	1	2	2			2.0	0.0
genus	Thermomicrobium	1	1	1			1.0	0.0
genus	GpIIa	8	1	2			1.76	0.41
genus	Leptothrix	1	2	2			2.0	0.0
genus	Enterococcus	6	1	6			4.67	1.8
genus	Gramella	1	3	3			3.0	0.0
genus	Acetoanaerobium	1	6	6			6.0	0.0
genus	Yersinia	3	6	7			6.86	0.2
genus	Fervidobacterium	2	2	2			2.0	0.0
genus	Sphaerochaeta	2	4	4			4.0	0.0
genus	Halorhodospira	1	2	2			2.0	0.0
genus	Methanothermococcus	1	2	2			2.0	0.0
genus	GpXI	1	2	2			2.0	0.0
genus	Thermotoga	7	1	1			1.0	0.0
genus	Cellulomonas	3	2	2			2.0	0.0
genus	Desulfobacula	1	4	4			4.0	0.0
genus	Thermoanaerobacterium	2	5	5			5.0	0.0
genus	Niastella	1	3	3			3.0	0.0
genus	Anaplasma	9	1	1			1.0	0.0
genus	Natronomonas	2	1	1			1.0	0.0
genus	Haloterrigena	2	3	3			3.0	0.0
genus	Pyrolobus	1	1	1			1.0	0.0
genus	Brevundimonas	1	2	2			2.0	0.0
genus	Phycisphaera	1	1	1			1.0	0.0
genus	Nautilia	1	4	4			4.0	0.0
genus	Pseudovibrio	1	6	6			6.0	0.0
genus	Oceanithermus	1	2	2			2.0	0.0
genus	Klebsiella	2	7	8			7.94	0.06
genus	Microbacterium	1	2	2			2.0	0.0
genus	Candidatus Pelagibacter	3	1	1			1.0	0.0
genus	Methylobacterium	5	5	7			5.8	0.75
genus	Solitalea	1	4	4			4.0	0.0
genus	Hyphomicrobium	3	1	1			1.0	0.0
genus	Echinicola	1	4	4			4.0	0.0
genus	Rhodococcus	5	4	5			4.1	0.2
genus	Rubrivivax	1	3	3			3.0	0.0
genus	Natronobacterium	1	3	3			3.0	0.0
genus	Caulobacter	3	2	2			2.0	0.0
genus	Psychromonas	2	10	10			10.0	0.0
genus	Natrinema	1	3	3			3.0	0.0
genus	Moraxella	1	4	4			4.0	0.0
genus	Simkania	1	1	1			1.0	0.0
genus	Mahella	1	3	3			3.0	0.0
genus	Fervidicoccus	1	1	1			1.0	0.0
genus	Neorickettsia	2	1	1			1.0	0.0
genus	Thermoproteus	2	1	1			1.0	0.0
genus	Saccharothrix	1	4	4			4.0	0.0
genus	Alkaliphilus	2	8	10			9.0	1.0
genus	Kocuria	1	3	3			3.0	0.0
genus	Megasphaera	1	7	7			7.0	0.0
genus	Allochromatium	1	3	3			3.0	0.0
genus	Hydrogenobacter	1	1	1			1.0	0.0
genus	Anaeromyxobacter	3	2	2			2.0	0.0
genus	Bifidobacterium	8	1	5			3.47	0.89
genus	Verrucosispora	1	3	3			3.0	0.0
genus	Ochrobactrum	1	4	4			4.0	0.0
genus	Pediococcus	2	4	5			4.5	0.5
genus	Chlorobium	7	1	3			1.86	0.64
genus	Acidianus	1	1	1			1.0	0.0
genus	Halothermothrix	1	4	4			4.0	0.0
genus	Blastococcus	1	3	3			3.0	0.0
genus	Chryseobacterium	1	2	2			2.0	0.0
genus	Methylocella	1	2	2			2.0	0.0
genus	Campylobacter	8	1	3			2.98	0.04
genus	Veillonella	1	4	4			4.0	0.0
genus	Sulfurospirillum	2	2	3			2.5	0.5
genus	Anoxybacillus	1	8	8			8.0	0.0
genus	Acidothermus	1	1	1			1.0	0.0
genus	Rahnella	1	7	7			7.0	0.0
genus	Tannerella	1	2	2			2.0	0.0
genus	Aggregatibacter	2	6	6			6.0	0.0
genus	Elusimicrobium	1	1	1			1.0	0.0
genus	Caldisericum	1	1	1			1.0	0.0
genus	Comamonas	1	3	3			3.0	0.0
genus	Sphingobium	3	2	3			2.67	0.47
genus	Clostridium XlVa	2	6	8			7.0	1.0
genus	Marivirga	1	2	2			2.0	0.0
genus	Solibacillus	1	12	12			12.0	0.0
genus	Ferroglobus	1	1	1			1.0	0.0
genus	Bordetella	7	3	3			3.0	0.0
genus	GpI	13	2	5			3.85	0.77
genus	Picrophilus	1	1	1			1.0	0.0
genus	Ilyobacter	1	8	8			8.0	0.0
genus	Variovorax	1	2	2			2.0	0.0
genus	Gemmatimonas	1	1	1			1.0	0.0
genus	Raoultella	1	8	8			8.0	0.0
genus	Methanothermobacter	2	2	2			2.0	0.0
genus	Ilumatobacter	1	2	2			2.0	0.0
genus	Methanolobus	1	3	3			3.0	0.0
genus	Kineococcus	1	4	4			4.0	0.0
genus	Shewanella	17	8	14			9.41	1.61
genus	Thioalkalimicrobium	1	2	2			2.0	0.0
genus	Gp4	1	1	1			1.0	0.0
genus	Methylophaga	2	3	3			3.0	0.0
genus	Cyclobacterium	1	3	3			3.0	0.0
genus	Candidatus Endomicrobium	1	1	1			1.0	0.0
genus	Syntrophothermus	1	2	2			2.0	0.0
genus	Sporolactobacillaceae_incertae_sedis	2	7	10			8.5	1.5
genus	Isosphaera	1	3	3			3.0	0.0
genus	Thioalkalivibrio	3	1	1			1.0	0.0
genus	Coxiella	1	1	1			1.0	0.0
genus	Dehalococcoides	1	1	1			1.0	0.0
genus	Kytococcus	1	2	2			2.0	0.0
genus	Thermobacillus	1	5	5			5.0	0.0
genus	Verminephrobacter	1	3	3			3.0	0.0
genus	Rhodanobacter	1	2	2			2.0	0.0
genus	Thermovirga	1	3	3			3.0	0.0
genus	Enterobacter	4	7	8			7.75	0.43
genus	Burkholderia	20	3	7			5.49	0.93
genus	Stackebrandtia	1	2	2			2.0	0.0
genus	Thermococcus	9	1	1			1.0	0.0
genus	Dokdonia	1	3	3			3.0	0.0
genus	Xanthomonas	7	2	2			2.0	0.0
genus	Coraliomargarita	1	2	2			2.0	0.0
genus	Desulfobulbus	1	2	2			2.0	0.0
genus	Metallosphaera	2	1	1			1.0	0.0
genus	Desulfotomaculum	6	3	10			7.0	2.31
genus	Conexibacter	1	1	1			1.0	0.0
genus	Serratia	6	7	8			7.17	0.37
genus	Lacinutrix	1	2	2			2.0	0.0
genus	Thermobifida	1	4	4			4.0	0.0
genus	Eubacterium	1	5	5			5.0	0.0
genus	Erythrobacter	1	1	1			1.0	0.0
genus	Dyadobacter	1	4	4			4.0	0.0
genus	Halothiobacillus	1	2	2			2.0	0.0
genus	Ruegeria	1	5	5			5.0	0.0
genus	Streptobacillus	1	5	5			5.0	0.0
genus	Frateuria	1	4	4			4.0	0.0
genus	Macrococcus	1	4	4			4.0	0.0
genus	Caldicellulosiruptor	8	3	3			3.0	0.0
genus	Halobacteroides	1	5	5			5.0	0.0
genus	Pantoea	2	7	7			7.0	0.0
genus	Dinoroseobacter	1	2	2			2.0	0.0
genus	Tropheryma	1	1	1			1.0	0.0
genus	Opitutus	1	1	1			1.0	0.0
genus	Thermanaerovibrio	1	3	3			3.0	0.0
genus	Mycoplasma	16	1	2			1.42	0.48
genus	Thiobacillus	1	2	2			2.0	0.0
genus	Rhodospirillum	2	1	4			2.5	1.5
genus	Cellulophaga	2	4	5			4.5	0.5
genus	Teredinibacter	1	3	3			3.0	0.0
genus	Zymomonas	1	2	3			2.67	0.0
genus	Faecalibacterium	1	1	1			1.0	0.0
genus	Cytophaga	1	3	3			3.0	0.0
genus	Clostridium XI	1	10	11			10.5	0.0
genus	Marinomonas	3	7	8			7.67	0.47
genus	Magnetospirillum	2	2	2			2.0	0.0
genus	Acidovorax	3	3	3			3.0	0.0
genus	Halolamina	1	2	2			2.0	0.0
genus	Calditerrivibrio	1	2	2			2.0	0.0
genus	Polynucleobacter	2	1	1			1.0	0.0
genus	Paludibacter	1	3	3			3.0	0.0
genus	Anaerococcus	1	4	4			4.0	0.0
genus	Leadbetterella	1	3	3			3.0	0.0
genus	Wolinella	1	3	3			3.0	0.0
genus	Pasteurella	1	6	6			6.0	0.0
genus	Syntrophobacter	1	2	2			2.0	0.0
genus	Gordonibacter	1	1	1			1.0	0.0
genus	Saccharibacteria_genera_incertae_sedis	2	1	1			1.0	0.0
genus	Mycobacterium	25	1	2			1.4	0.49
genus	Chloroflexus	3	3	3			3.0	0.0
genus	Diaphorobacter	2	3	3			3.0	0.0
genus	Nitrosomonas	1	1	1			1.0	0.0
genus	Pirellula	1	1	1			1.0	0.0
genus	Eggerthella	1	3	3			3.0	0.0
genus	Desulfurococcus	3	1	1			1.0	0.0
genus	Thalassobaculum	1	1	1			1.0	0.0
genus	Candidatus Koribacter	1	1	1			1.0	0.0
genus	Desulfohalobium	1	2	2			2.0	0.0
genus	Mesoplasma	2	2	2			2.0	0.0
genus	Coprococcus	2	1	1			1.0	0.0
genus	Cronobacter	2	7	7			7.0	0.0
